ID;Geslacht;LeeftijdOp31December;Perioden;Overledenen_1
631;T001038;10000;1982W137;2091
632;T001038;10000;1982W138;2041
633;T001038;10000;1982W139;1989
634;T001038;10000;1982W140;2007
635;T001038;10000;1982W141;2050
636;T001038;10000;1982W142;2157
637;T001038;10000;1982W143;2073
638;T001038;10000;1982W144;2131
639;T001038;10000;1982W145;2218
640;T001038;10000;1982W146;2194
641;T001038;10000;1982W147;2289
642;T001038;10000;1982W148;2312
643;T001038;10000;1982W149;2444
644;T001038;10000;1982W150;2515
645;T001038;10000;1982W151;2734
646;T001038;10000;1982W152;1891
647;T001038;10000;1982JJ00;117264
648;T001038;10000;1983X000;771
649;T001038;10000;1983W101;2684
650;T001038;10000;1983W102;2607
651;T001038;10000;1983W103;2349
652;T001038;10000;1983W104;2317
653;T001038;10000;1983W105;2352
654;T001038;10000;1983W106;2389
655;T001038;10000;1983W107;2411
656;T001038;10000;1983W108;2436
657;T001038;10000;1983W109;2324
658;T001038;10000;1983W110;2376
659;T001038;10000;1983W111;2222
660;T001038;10000;1983W112;2229
661;T001038;10000;1983W113;2206
662;T001038;10000;1983W114;2279
663;T001038;10000;1983W115;2225
664;T001038;10000;1983W116;2190
665;T001038;10000;1983W117;2210
666;T001038;10000;1983W118;2199
667;T001038;10000;1983W119;2284
668;T001038;10000;1983W120;2182
669;T001038;10000;1983W121;2151
670;T001038;10000;1983W122;2318
671;T001038;10000;1983W123;2260
672;T001038;10000;1983W124;2151
673;T001038;10000;1983W125;2382
674;T001038;10000;1983W126;2079
675;T001038;10000;1983W127;2329
676;T001038;10000;1983W128;2409
677;T001038;10000;1983W129;2212
678;T001038;10000;1983W130;2110
679;T001038;10000;1983W131;1942
680;T001038;10000;1983W132;2079
681;T001038;10000;1983W133;2229
682;T001038;10000;1983W134;2102
683;T001038;10000;1983W135;2050
684;T001038;10000;1983W136;2072
685;T001038;10000;1983W137;2117
686;T001038;10000;1983W138;2134
687;T001038;10000;1983W139;2174
688;T001038;10000;1983W140;2155
689;T001038;10000;1983W141;2230
690;T001038;10000;1983W142;2169
691;T001038;10000;1983W143;2156
692;T001038;10000;1983W144;2305
693;T001038;10000;1983W145;2271
694;T001038;10000;1983W146;2269
695;T001038;10000;1983W147;2368
696;T001038;10000;1983W148;2270
697;T001038;10000;1983W149;2330
698;T001038;10000;1983W150;2407
699;T001038;10000;1983W151;2322
700;T001038;10000;1983W152;1967
701;T001038;10000;1983JJ00;117761
702;T001038;10000;1984X000;320
703;T001038;10000;1984W101;2343
704;T001038;10000;1984W102;2385
705;T001038;10000;1984W103;2333
706;T001038;10000;1984W104;2341
707;T001038;10000;1984W105;2363
708;T001038;10000;1984W106;2334
709;T001038;10000;1984W107;2206
710;T001038;10000;1984W108;2403
711;T001038;10000;1984W109;2532
712;T001038;10000;1984W110;2404
713;T001038;10000;1984W111;2524
714;T001038;10000;1984W112;2712
715;T001038;10000;1984W113;2613
716;T001038;10000;1984W114;2525
717;T001038;10000;1984W115;2500
718;T001038;10000;1984W116;2361
719;T001038;10000;1984W117;2321
720;T001038;10000;1984W118;2315
